sample,fastq_1,fastq_2,strandedness
mysample1_10,input1_10_R1.fq.gz,,forward
mysample1_11,input1_11_R1.fq.gz,,forward
mysample1_12,input1_12_R1.fq.gz,,forward
mysample1_13,input1_13_R1.fq.gz,,forward
mysample1_14,input1_14_R1.fq.gz,,forward
mysample1_15,input1_15_R1.fq.gz,,forward
mysample1_16,input1_16_R1.fq.gz,,forward
mysample1_17,input1_17_R1.fq.gz,,forward
mysample1_18,input1_18_R1.fq.gz,,forward
mysample1_19,input1_19_R1.fq.gz,,forward
mysample1_1,input1_1_R1.fq.gz,,forward
mysample1_20,input1_20_R1.fq.gz,,forward
mysample1_21,input1_21_R1.fq.gz,,forward
mysample1_22,input1_22_R1.fq.gz,,forward
mysample1_23,input1_23_R1.fq.gz,,forward
mysample1_24,input1_24_R1.fq.gz,,forward
mysample1_25,input1_25_R1.fq.gz,,forward
mysample1_26,input1_26_R1.fq.gz,,forward
mysample1_27,input1_27_R1.fq.gz,,forward
mysample1_28,input1_28_R1.fq.gz,,forward
mysample1_29,input1_29_R1.fq.gz,,forward
mysample1_2,input1_2_R1.fq.gz,,forward
mysample1_30,input1_30_R1.fq.gz,,forward
mysample1_3,input1_3_R1.fq.gz,,forward
mysample1_4,input1_4_R1.fq.gz,,forward
mysample1_5,input1_5_R1.fq.gz,,forward
mysample1_6,input1_6_R1.fq.gz,,forward
mysample1_7,input1_7_R1.fq.gz,,forward
mysample1_8,input1_8_R1.fq.gz,,forward
mysample1_9,input1_9_R1.fq.gz,,forward
mysample2_10,input2_10_R1.fq.gz,,forward
mysample2_11,input2_11_R1.fq.gz,,forward
mysample2_12,input2_12_R1.fq.gz,,forward
mysample2_13,input2_13_R1.fq.gz,,forward
mysample2_14,input2_14_R1.fq.gz,,forward
mysample2_15,input2_15_R1.fq.gz,,forward
mysample2_16,input2_16_R1.fq.gz,,forward
mysample2_17,input2_17_R1.fq.gz,,forward
mysample2_18,input2_18_R1.fq.gz,,forward
mysample2_19,input2_19_R1.fq.gz,,forward
mysample2_1,input2_1_R1.fq.gz,,forward
mysample2_20,input2_20_R1.fq.gz,,forward
mysample2_21,input2_21_R1.fq.gz,,forward
mysample2_22,input2_22_R1.fq.gz,,forward
mysample2_23,input2_23_R1.fq.gz,,forward
mysample2_24,input2_24_R1.fq.gz,,forward
mysample2_25,input2_25_R1.fq.gz,,forward
mysample2_26,input2_26_R1.fq.gz,,forward
mysample2_27,input2_27_R1.fq.gz,,forward
mysample2_28,input2_28_R1.fq.gz,,forward
mysample2_29,input2_29_R1.fq.gz,,forward
mysample2_2,input2_2_R1.fq.gz,,forward
mysample2_30,input2_30_R1.fq.gz,,forward
mysample2_3,input2_3_R1.fq.gz,,forward
mysample2_4,input2_4_R1.fq.gz,,forward
mysample2_5,input2_5_R1.fq.gz,,forward
mysample2_6,input2_6_R1.fq.gz,,forward
mysample2_7,input2_7_R1.fq.gz,,forward
mysample2_8,input2_8_R1.fq.gz,,forward
mysample2_9,input2_9_R1.fq.gz,,forward
